"academic use only"

"corpus","preloaded/ententen20_tt31_1"
"subcorpus","-"
"concordance size","1926"
"query","Query:[tag=""N.*""& tag!=""NNSZ"" & tag!=""NNZ""& tag!=""NPZ""& tag!=""NPSZ""][tag=""VVN"" & lemma =""stain""] [tag=""N.*""] within < s/>"
"Reference","Left","KWIC","Right"
"abcam.com","you don''t waste time when you want to switch. </s><s> I don''t find any of those pieces of advice all that helpful. </s><s> ICC/IF image of","ab7291 stained HeLa","cells. </s><s> The cells were 100% methanol fixed (5 min) and then incubated in 1% BSA / 10% normal goat serum / 0.3M glycine in 0.1"
"letsbuildadollhouse.com","as their pre amped, when i changed mine i had to rewire from the HU then eventually the amps as my system grew. </s><s> Make an Easy","Miniature Stained Glass","Door </s><s> I love this tiny front entrance with it''s the door mat and rubber boots. </s><s> The stained glass in the door is really"
"netrhythms.co.uk","of the young soldier returning home without his legs, a slow uncoiling, bewitched Stagger Lee, a percussive dubstep","voodoo stained Sadie","and a melodically mesmerising reworking of Raggle Taggle Gypsies as The Lady O with guitar drone, 12 string, hand"
"amegroups.com","(15,18). </s><s> For analysis of the staining at least 30 consecutive photomicrographs were taken using a 40x objective. </s><s> The","red stained F4","/80-positive area was quantified using the color threshold tool in ImageJ 1.47v. </s><s> Oil Red O staining of lipids in liver"
"tabstart.com","great pieces of advice for giving your wedding decor a vintage flair. </s><s> For instance, use letterpress printing and","tea stained papers","; accessorize your bridal party in pillbox hats, birdcage veils, and Art Deco jewelry; and, attach vintage brooches to"
"kiloalphatango.com","before my sculptural glass course near Bristol with Julie Anne Dent. </s><s> Another sculptural bead. </s><s> I made it using scraps of","cathedral stained glass",", hence the restricted palette of colours. </s><s> The blue thing on it''s back is a loop for hanging, added as an afterthought. </s><s> I"
"kiloalphatango.com","sizes, shapes and colours. </s><s> I''m not sure what I''ll do with them but I''ve had fun. </s><s> I''ve also used up some of my many bits of","scrap stained glass",". </s><s> Technically this is a bead but is in fact a small vessel as the body of it is hollow and will hold aromatic oils. </s><s> It becomes"
"kenthomes.co.uk","''s pretty beach huts, pebble beach and green slopes, Tankerton really is a quintessential Kent coastal town. </s><s> Enclosed","Porch Stained wood","front entrance door to enclosed porch. </s><s> Radiator. </s><s> Tiled floor. </s><s> Spacious Entrance Hall Partially glazed stained wood"
"jdslanka.org","(what is that?) Created almost 8 years ago 754 views </s><s> The warm summer winds softly sighed as he silently left, in another","blood stained July",". </s><s> Ganeshan Nimalaruban, a Tamil youth full of life, was tortured to death inside a maximum security prison in Sri Lanka"
"halfmoonbayinn.com","suite </s><s> Our newly renovated downtown suite is our hippest yet and is ADA Compliant. </s><s> Floors done in white tile, walls of","crystal stained glass",", custom furniture of stainless steel and fine wood is very ""downtown"", indeed. </s><s> Enter at street level off Mill Street. </s>"
"suffolkchurches.co.uk","has to the grand and uncompromising High Church temples of west London. </s><s> It has an unparalleled collection of 20th","century stained glass","; the best of this consists of a range of saints, spanning the century, from St Etheldreda in her high Victorian camp, to"
"spicesinc.com","1400 and 1500 BC, and at a site on the Gulf Coast of Veracruz, Mexico in around 1750 BC. </s><s> But the oldest site with cacao","residue stained pots","is located on the Pacific coast of Chiapas, Mexico that dates back to around 1900 BC. </s><s> This shows that the initial"
"doctorslounge.com","the respiratory tract infection. </s><s> But its important to rule out few other causes. </s><s> But as you''ve already had 2 episodes of","blood stained sputum",", it does suggest that whatever the pathology is, its progressing. </s><s> You need to get atleast an Xray-chest done (after"
"doctorslounge.com","help in long term, especially in your case. </s><s> Thanks for the tip, but you misread part of it. </s><s> I''ve only had one episode of","blood stained sputum",". </s><s> I am currently working on quitting smoking, I''ve got the gum and everything, I''m starting on that tomorrow, I set March"
"gloucester-ma.gov","Plates & Cups Disposable Silverware Napkins Styrofoam Coffee Cups 3 Ring Binders CDs and Video Tapes Greasy/","Food Stained Pizza","Boxes Paper with Food Stains </s><s> Yes, check out ""Beyond The Bin"" administered by the Massachusetts DEP. </s><s> This Beyond the Bin"
"chicagoelectricpiano.com","Dark Star:"" </s><s> This 1973 Fender Rhodes Suitcase was finished with Ivory tolex, same as the Lunar Rhodes but inverted with","black stained Walnut","Cheek Blocks and a custom black sparkletop. </s><s> In order to get the best lighting possible for the metal flakes in the lid we"
"artsconnectionnetwork.org","leaves the floodgates open for information to flow out. </s><s> He told me all about his pencil sketched illustrations done on","coffee stained paper",". </s><s> I remember wanting to go home, brew a pot, and splash a mug of black coffee over a stack of printer paper full of my best"
"assembly-jobs.com","men and women and include items such as: </s><s> Partial List of The Types of Assembly Work at Home Jobs Available To You! </s><s> Sashes","Potpourri Stained Glass","Appliance Covers Mailing Circulars Throws String Art Stuff Envelopes Plant Holders Swings Carvings Wind Chimes Wood"
"steetleyminerals.com","an area at the bottom of the incline. </s><s> Specimens show delicate white platy crystals of good lustre, the best specimens on","iron stained barite",". </s><s> Other minerals found are barite, hemimorphite, aurichalcite, siderite and witherite. </s><s> Seata Mine, Wensleydale </s>"
"pricecrashfurniture.co.uk","inset panelling. </s><s> There are two types of bookcase available in the Boston range. </s><s> One is the Boston Low 3 Shelf Bookcase In","Dark Stained Wood","which is perfect for below a television, in a smaller room or even in a hallway. </s><s> In addition to being a bookcase, the"
"gutenberg.net.au","were a trifle unsteady, and there was just a tinge of color in her cheeks. </s><s> Still, she made a brave enough figure. </s><s> A crimson","wave stained Blanche","Laurisdale''s face. </s><s> The rebuke was so dignified, so quiet, and yet in such perfect taste, that she felt ashamed of"
"gutenberg.net.au",", and I have proved what only a few dimly suspect. </s><s> You have been in his employ for years. </s><s> Do you know his secret?"" </s><s> A sullen","red stained Gosway''s","face. </s><s> ""I could not help myself,"" he said. </s><s> ""I have to live. </s><s> I had to atone for the follies of my youth and God knows, I have"
